start,pitch,pitchclass,pitchname,offset,instrument,lyric,syllabic
11.571428571428571,52,4,E3,27.0,voice,Ich,single
12.0,52,4,E3,28.0,voice,such,single
12.428571428571427,52,4,E3,29.0,voice,im,single
12.857142857142856,52,4,E3,30.0,voice,Schnee,single
13.285714285714285,57,9,A3,31.0,voice,ver,begin
13.714285714285714,60,0,C4,32.0,voice,ge,middle
14.142857142857142,59,11,B3,33.0,voice,bens,end
15.0,57,9,A3,35.0,voice,nach,single
15.428571428571427,56,8,G#3,36.0,voice,ih,begin
15.857142857142856,56,8,G#3,37.0,voice,rer,end
16.285714285714285,57,9,A3,38.0,voice,Trit,begin
16.71428571428571,59,11,B3,39.0,voice,te,end
17.142857142857142,52,4,E3,40.0,voice,"Spur,",single
17.57142857142857,57,9,A3,41.0,voice,,single
18.428571428571427,52,4,E3,43.0,voice,wo,single
18.857142857142858,52,4,E3,44.0,voice,sie,single
19.285714285714285,53,5,F3,45.0,voice,an,single
19.5,52,4,E3,45.5,voice,,single
19.71428571428571,52,4,E3,46.0,voice,mei,begin
20.142857142857142,57,9,A3,47.0,voice,nem,end
20.357142857142858,60,0,C4,47.5,voice,,single
20.57142857142857,64,4,E4,48.0,voice,Ar,begin
21.0,62,2,D4,49.0,voice,me,end
21.642857142857142,60,0,C4,50.5,voice,,single
21.857142857142858,59,11,B3,51.0,voice,durch,begin
22.07142857142857,57,9,A3,51.5,voice,,single
22.285714285714285,56,8,G#3,52.0,voice,strich,end
22.71428571428571,56,8,G#3,53.0,voice,die,single
23.142857142857142,57,9,A3,54.0,voice,grü,begin
23.57142857142857,59,11,B3,55.0,voice,ne,end
24.0,52,4,E3,56.0,voice,"Flur,",single
24.428571428571427,57,9,A3,57.0,voice,,single
25.285714285714285,60,0,C4,59.0,voice,ich,single
25.71428571428571,59,11,B3,60.0,voice,such,single
26.142857142857142,62,2,D4,61.0,voice,im,single
26.57142857142857,62,2,D4,62.0,voice,,single
26.57142857142857,60,0,C4,62.0,voice,Schnee,single
27.0,59,11,B3,63.0,voice,ver,begin
27.428571428571427,60,0,C4,64.0,voice,ge,middle
28.285714285714285,57,9,A3,66.0,voice,bens,end
28.71428571428571,60,0,C4,67.0,voice,nach,single
29.142857142857142,59,11,B3,68.0,voice,ih,begin
29.57142857142857,62,2,D4,69.0,voice,rer,end
30.0,62,2,D4,70.0,voice,,single
30.0,60,0,C4,70.0,voice,Trit,begin
30.428571428571427,59,11,B3,71.0,voice,te,end
30.857142857142854,60,0,C4,72.0,voice,"Spur,",single
32.14285714285714,59,11,B3,75.0,voice,wo,single
32.57142857142857,57,9,A3,76.0,voice,sie,single
33.0,57,9,A3,77.0,voice,an,single
33.42857142857142,57,9,A3,78.0,voice,,single
33.42857142857142,55,7,G3,78.0,voice,mei,begin
33.857142857142854,55,7,G3,79.0,voice,nem,end
34.285714285714285,55,7,G3,80.0,voice,Ar,begin
34.92857142857142,53,5,F3,81.5,voice,,single
35.14285714285714,52,4,E3,82.0,voice,me,end
35.57142857142857,52,4,E3,83.0,voice,durch,begin
36.0,57,9,A3,84.0,voice,strich,end
36.42857142857142,55,7,G3,85.0,voice,die,single
36.64285714285714,53,5,F3,85.5,voice,,single
36.857142857142854,52,4,E3,86.0,voice,grü,begin
37.285714285714285,50,2,D3,87.0,voice,ne,end
37.714285714285715,52,4,E3,88.0,voice,Flur.,single
40.714285714285715,51,3,D#3,95.0,voice,Ich,single
41.14285714285714,52,4,E3,96.0,voice,will,single
41.57142857142857,52,4,E3,97.0,voice,den,single
42.0,59,11,B3,98.0,voice,Bo,begin
42.64285714285714,52,4,E3,99.5,voice,den,end
42.857142857142854,52,4,E3,100.0,voice,,single
42.857142857142854,51,3,D#3,100.0,voice,küs,begin
43.285714285714285,51,3,D#3,101.0,voice,"sen,",end
44.14285714285714,51,3,D#3,103.0,voice,duch,begin
44.57142857142857,51,3,D#3,104.0,voice,drin,middle
45.0,54,6,F#3,105.0,voice,gen,end
45.214285714285715,57,9,A3,105.5,voice,,single
45.42857142857142,60,0,C4,106.0,voice,Eis,single
46.07142857142857,51,3,D#3,107.5,voice,und,single
46.285714285714285,52,4,E3,108.0,voice,Schnee,single
46.71428571428571,52,4,E3,109.0,voice,mit,single
47.14285714285714,62,2,D4,110.0,voice,mei,begin
48.42857142857142,65,5,F4,113.0,voice,nen,end
48.857142857142854,64,4,E4,114.0,voice,hei,begin
49.285714285714285,62,2,D4,115.0,voice,ßen,end
49.71428571428571,60,0,C4,116.0,voice,Trä,begin
50.14285714285714,59,11,B3,117.0,voice,,single
50.57142857142857,57,9,A3,118.0,voice,"nen,",end
51.0,55,7,G3,119.0,voice,bis,single
51.42857142857142,53,5,F3,120.0,voice,ich,single
52.71428571428571,53,5,F3,123.0,voice,die,single
53.14285714285714,53,5,F3,124.0,voice,Er,begin
53.57142857142857,52,4,E3,125.0,voice,"de,",end
54.42857142857142,52,4,E3,127.0,voice,die,single
54.857142857142854,56,8,G#3,128.0,voice,Er,begin
56.14285714285714,56,8,G#3,131.0,voice,de,end
56.57142857142857,59,11,B3,132.0,voice,seh,single
57.857142857142854,59,11,B3,135.0,voice,ich,single
58.285714285714285,60,0,C4,136.0,voice,will,single
58.92857142857142,59,11,B3,137.5,voice,den,single
