start,pitch,pitchclass,pitchname,offset,instrument,lyric,syllabic
23.5,59,11,B3,23.5,voice,Am,single
24.0,59,11,B3,24.0,voice,Brun,begin
25.5,56,8,G#3,25.5,voice,nen,end
26.0,56,8,G#3,26.0,voice,vor,single
26.5,56,8,G#3,26.5,voice,dem,single
27.0,56,8,G#3,27.0,voice,To,begin
28.0,52,4,E3,28.0,voice,re,end
29.5,52,4,E3,29.5,voice,da,single
30.0,54,6,F#3,30.0,voice,steht,single
31.5,56,8,G#3,31.5,voice,ein,single
32.0,57,9,A3,32.0,voice,Lin,begin
32.333333333333336,56,8,G#3,32.333333333333336,voice,,single
32.666666666666664,54,6,F#3,32.666666666666664,voice,den,middle
33.0,52,4,E3,33.0,voice,baum;,end
35.5,59,11,B3,35.5,voice,ich,single
36.0,59,11,B3,36.0,voice,träumt',single
37.5,56,8,G#3,37.5,voice,in,single
38.0,56,8,G#3,38.0,voice,sei,begin
38.5,56,8,G#3,38.5,voice,nem,end
39.0,56,8,G#3,39.0,voice,Schat,begin
40.0,52,4,E3,40.0,voice,ten,end
41.5,52,4,E3,41.5,voice,so,single
42.0,54,6,F#3,42.0,voice,man,begin
43.5,56,8,G#3,43.5,voice,chen,end
44.0,57,9,A3,44.0,voice,sü,begin
44.333333333333336,56,8,G#3,44.333333333333336,voice,,single
44.666666666666664,54,6,F#3,44.666666666666664,voice,ßen,end
45.0,52,4,E3,45.0,voice,Traum.,single
47.5,52,4,E3,47.5,voice,Ich,single
48.0,54,6,F#3,48.0,voice,schnitt,single
49.5,54,6,F#3,49.5,voice,in,single
50.0,54,6,F#3,50.0,voice,sei,begin
50.5,54,6,F#3,50.5,voice,ne,end
51.0,56,8,G#3,51.0,voice,Rin,begin
51.75,57,9,A3,51.75,voice,,single
52.0,59,11,B3,52.0,voice,de,end
53.5,59,11,B3,53.5,voice,so,single
54.0,61,1,C#4,54.0,voice,man,begin
55.5,59,11,B3,55.5,voice,ches,end
56.0,56,8,G#3,56.0,voice,lie,begin
56.5,52,4,E3,56.5,voice,be,end
57.0,54,6,F#3,57.0,voice,Wort;,single
59.5,54,6,F#3,59.5,voice,es,single
60.0,54,6,F#3,60.0,voice,zog,single
61.5,54,6,F#3,61.5,voice,in,single
62.0,54,6,F#3,62.0,voice,Freud,single
62.5,54,6,F#3,62.5,voice,und,single
63.0,56,8,G#3,63.0,voice,Lei,begin
63.75,57,9,A3,63.75,voice,,single
64.0,59,11,B3,64.0,voice,de,end
65.5,59,11,B3,65.5,voice,zu,single
66.0,64,4,E4,66.0,voice,ihm,single
67.0,59,11,B3,67.0,voice,,single
67.5,56,8,G#3,67.5,voice,mich,single
68.0,57,9,A3,68.0,voice,im,begin
68.75,54,6,F#3,68.75,voice,mer,middle
69.0,52,4,E3,69.0,voice,fort.,end
83.5,59,11,B3,83.5,voice,Ich,single
84.0,59,11,B3,84.0,voice,mußt,single
85.5,55,7,G3,85.5,voice,auch,single
86.0,55,7,G3,86.0,voice,heu,begin
86.75,55,7,G3,86.75,voice,te,end
87.0,55,7,G3,87.0,voice,wan,begin
88.0,52,4,E3,88.0,voice,dern,end
89.5,52,4,E3,89.5,voice,vor,begin
90.0,54,6,F#3,90.0,voice,bei,end
91.5,55,7,G3,91.5,voice,in,single
92.0,57,9,A3,92.0,voice,tie,begin
92.33333333333333,55,7,G3,92.33333333333333,voice,,single
92.66666666666667,54,6,F#3,92.66666666666667,voice,fer,end
93.0,52,4,E3,93.0,voice,"Nacht,",single
95.5,59,11,B3,95.5,voice,da,single
96.0,59,11,B3,96.0,voice,hab,single
97.5,55,7,G3,97.5,voice,ich,single
98.0,55,7,G3,98.0,voice,noch,single
98.5,55,7,G3,98.5,voice,im,single
99.0,55,7,G3,99.0,voice,Dun,begin
100.0,52,4,E3,100.0,voice,kel,end
101.5,52,4,E3,101.5,voice,die,single
102.0,54,6,F#3,102.0,voice,Au,begin
103.5,55,7,G3,103.5,voice,gen,end
104.0,57,9,A3,104.0,voice,zu,begin
104.33333333333333,55,7,G3,104.33333333333333,voice,,single
104.66666666666667,54,6,F#3,104.66666666666667,voice,ge,middle
105.0,52,4,E3,105.0,voice,macht.,end
107.5,52,4,E3,107.5,voice,Und,single
108.0,54,6,F#3,108.0,voice,sei,begin
109.5,54,6,F#3,109.5,voice,ne,end
110.0,54,6,F#3,110.0,voice,Zwei,begin
110.5,54,6,F#3,110.5,voice,ge,end
111.0,56,8,G#3,111.0,voice,rausch,begin
111.75,57,9,A3,111.75,voice,,single
112.0,59,11,B3,112.0,voice,"ten,",end
113.5,59,11,B3,113.5,voice,als,single
114.0,61,1,C#4,114.0,voice,rie,begin
115.5,59,11,B3,115.5,voice,fen,end
116.0,56,8,G#3,116.0,voice,sie,single
116.5,52,4,E3,116.5,voice,mir,single
117.0,54,6,F#3,117.0,voice,zu:,single
119.5,54,6,F#3,119.5,voice,komm,single
120.0,54,6,F#3,120.0,voice,her,single
121.5,54,6,F#3,121.5,voice,zu,single
122.0,54,6,F#3,122.0,voice,"mir,",single
122.5,54,6,F#3,122.5,voice,Ge,begin
123.0,56,8,G#3,123.0,voice,sel,middle
123.75,57,9,A3,123.75,voice,,single
124.0,59,11,B3,124.0,voice,"le,",end
125.5,59,11,B3,125.5,voice,hier,single
126.0,64,4,E4,126.0,voice,findst,single
127.0,59,11,B3,127.0,voice,,single
127.5,56,8,G#3,127.5,voice,du,single
128.0,57,9,A3,128.0,voice,dei,begin
128.75,54,6,F#3,128.75,voice,ne,end
129.0,52,4,E3,129.0,voice,Ruh!,single
134.5,54,6,F#3,134.5,voice,Die,single
135.0,54,6,F#3,135.0,voice,kal,begin
136.5,54,6,F#3,136.5,voice,ten,end
137.0,54,6,F#3,137.0,voice,Win,begin
137.5,57,9,A3,137.5,voice,de,end
138.0,55,7,G3,138.0,voice,blie,begin
139.0,52,4,E3,139.0,voice,sen,end
140.5,52,4,E3,140.5,voice,mir,single
141.0,54,6,F#3,141.0,voice,grad,single
